areaNm,daywkDivNm,touNum,baseYmd
경기도,토요일,1711720.5,2022-01-08
강원도,토요일,483437.5,2022-01-08
충청북도,토요일,290955.0,2022-01-08
충청남도,토요일,444524.5,2022-01-08
전라북도,토요일,264236.0,2022-01-08
전라남도,토요일,341271.0,2022-01-08
경상북도,토요일,491151.5,2022-01-08
경상남도,토요일,427458.5,2022-01-08
제주특별자치도,토요일,183526.0,2022-01-08
서울특별시,일요일,1289669.5,2022-01-09
부산광역시,일요일,360024.0,2022-01-09
대구광역시,일요일,243477.5,2022-01-09
인천광역시,일요일,390670.0,2022-01-09
광주광역시,일요일,148298.5,2022-01-09
대전광역시,일요일,196164.5,2022-01-09
울산광역시,일요일,124526.5,2022-01-09
세종특별자치시,일요일,62573.0,2022-01-09
경기도,일요일,1557339.0,2022-01-09
강원도,일요일,451433.5,2022-01-09
충청북도,일요일,261719.5,2022-01-09
충청남도,일요일,393820.0,2022-01-09
전라북도,일요일,241433.5,2022-01-09
전라남도,일요일,324047.5,2022-01-09
경상북도,일요일,493769.5,2022-01-09
경상남도,일요일,408705.5,2022-01-09
제주특별자치도,일요일,184961.0,2022-01-09
서울특별시,월요일,1244827.5,2022-01-10
부산광역시,월요일,291161.5,2022-01-10
대구광역시,월요일,201432.0,2022-01-10
인천광역시,월요일,292082.0,2022-01-10
광주광역시,월요일,131302.5,2022-01-10
대전광역시,월요일,159712.0,2022-01-10
울산광역시,월요일,100023.0,2022-01-10
세종특별자치시,월요일,55765.5,2022-01-10
경기도,월요일,1209768.0,2022-01-10
강원도,월요일,286373.5,2022-01-10
충청북도,월요일,196227.5,2022-01-10
충청남도,월요일,275131.5,2022-01-10
전라북도,월요일,168945.0,2022-01-10
전라남도,월요일,232886.5,2022-01-10
경상북도,월요일,314940.5,2022-01-10
경상남도,월요일,298193.0,2022-01-10
제주특별자치도,월요일,188692.0,2022-01-10
서울특별시,화요일,1284853.5,2022-01-11
부산광역시,화요일,294770.0,2022-01-11
대구광역시,화요일,200259.5,2022-01-11
인천광역시,화요일,297230.5,2022-01-11
광주광역시,화요일,127396.5,2022-01-11
대전광역시,화요일,160282.5,2022-01-11
울산광역시,화요일,102469.5,2022-01-11
세종특별자치시,화요일,57890.0,2022-01-11
경기도,화요일,1225423.5,2022-01-11
강원도,화요일,265020.0,2022-01-11
충청북도,화요일,197547.0,2022-01-11
