touNum,avgTemp,AccumulateCovid19,increase,baseYmd,festival_no,festival_yes,holiday_no,holiday_yes,PM10_no,PM10_yes,PM25_no,PM25_yes,dayRf_no,dayRf_yes
0.0,0.5683060109289616,-0.017067757675694455,-0.5150952159777056,2022-06-04,1,0,0,1,1,0,1,0,1,0
0.0,0.3825136612021858,-0.017067757675694455,-0.5150952159777056,2022-06-05,1,0,0,1,1,0,1,0,0,1
0.8803420491350028,0.29508196721311464,-0.017067757675694455,-0.5150952159777056,2022-06-06,1,0,0,1,1,0,1,0,0,1
-0.6697803933960028,0.24043715846994537,-0.01512323112901804,-0.5861588481189038,2022-06-07,1,0,1,0,1,0,1,0,1,0
-0.5510506359112094,0.33333333333333337,-0.014086150304123952,-0.5137018114259173,2022-06-08,1,0,1,0,1,0,1,0,1,0
-0.4747807883719093,0.37704918032786877,-0.014086150304123952,-0.5137018114259173,2022-06-09,1,0,1,0,1,0,1,0,0,1
-0.0584366853621929,0.5081967213114754,-0.014086150304123952,-0.5137018114259173,2022-06-10,1,0,1,0,1,0,1,0,1,0
0.0,0.46448087431693985,-0.011340478820216854,-0.5587552252670692,2022-06-11,1,0,0,1,1,0,1,0,0,1
1.1099415435658424,0.5191256830601093,-0.011340478820216854,-0.5587552252670692,2022-06-12,1,0,0,1,1,0,1,0,1,0
-0.5075242910182479,0.5573770491803278,-0.010438218502558997,-0.6525777984208082,2022-06-13,1,0,1,0,1,0,1,0,1,0
-0.41577138794533536,0.3060109289617487,-0.010438218502558997,-0.6525777984208082,2022-06-14,1,0,1,0,1,0,1,0,0,1
-0.40356663243542146,0.28961748633879786,-0.008797038097164103,-0.5499303297724106,2022-06-15,1,0,1,0,1,0,1,0,0,1
-0.2750414724701793,0.37704918032786877,-0.008797038097164103,-0.5499303297724106,2022-06-16,1,0,1,0,1,0,1,0,1,0
0.2825460146931037,0.5081967213114754,-0.007674398104216252,-0.6126335346028797,2022-06-17,0,1,1,0,1,0,1,0,1,0
0.0,0.0,-0.007150672287644737,-0.6061309800278681,2022-06-18,0,1,0,1,1,0,1,0,1,0
0.0,0.0,-0.007150672287644737,-0.6061309800278681,2022-06-19,1,0,0,1,1,0,1,0,1,0
-0.2025633936329884,0.0,-0.007150672287644737,-0.6061309800278681,2022-06-20,1,0,1,0,1,0,1,0,1,0
-0.10769018089896516,0.0,-0.005823208831780305,-0.5908035299581978,2022-06-21,1,0,1,0,1,0,1,0,1,0
-0.07044395291887195,0.0,-0.005245036271901851,-0.5963771481653507,2022-06-22,1,0,1,0,1,0,1,0,1,0
-0.2340429733786239,0.0,-0.005245036271901851,-0.5963771481653507,2022-06-23,1,0,1,0,1,0,1,0,0,1
0.25908444584880325,0.0,-0.004233882467630115,-0.6172782164421737,2022-06-24,1,0,1,0,1,0,1,0,0,1
0.0,0.0,-0.004233882467630115,-0.6172782164421737,2022-06-25,1,0,0,1,1,0,1,0,1,0
0.0,0.0,-0.004233882467630115,-0.6172782164421737,2022-06-26,1,0,0,1,1,0,1,0,0,1
-0.19695473576111858,0.0,-0.0031060570705577937,-0.660473757547608,2022-06-27,1,0,1,0,1,0,1,0,0,1
