areaNm,touNum,baseYmd,avgTemp,dayRf,daySf,festival,holiday,PM10,PM25,AccumulateCovid19,increase,AccumulateReleased,localIncrease,CovidForeigner
서울특별시,1134094.5,2022-01-04,-2.5,0.0,0.0,0,0,0,0,229801.0,938.0,180705.0,903.0,35.0
부산광역시,258317.5,2022-01-04,4.5,0.0,0.0,0,0,0,0,25821.0,145.0,22216.0,143.0,2.0
대구광역시,179609.5,2022-01-04,1.9,0.0,0.0,0,0,0,0,23517.0,84.0,21794.0,79.0,5.0
인천광역시,261201.5,2022-01-04,-2.9,0.0,0.0,0,0,0,0,37553.0,171.0,32995.0,162.0,9.0
광주광역시,114607.5,2022-01-04,2.0,0.0,0.0,0,0,0,0,8347.0,61.0,7529.0,59.0,2.0
대전광역시,138705.0,2022-01-04,0.1,0.0,0.0,0,0,0,0,12457.0,34.0,10810.0,31.0,3.0
울산광역시,90307.0,2022-01-04,3.1,0.0,0.0,0,0,0,0,7053.0,34.0,6517.0,33.0,1.0
세종특별자치시,50963.5,2022-01-04,-0.4,0.0,0.0,0,0,0,0,2191.0,11.0,2035.0,11.0,0.0
경기도,1088916.5,2022-01-04,-1.3,0.1,0.0,0,0,0,0,190895.0,947.0,155491.0,916.0,31.0
강원도,230898.5,2022-01-04,-3.4,0.0,0.0,0,0,0,0,12640.0,63.0,11599.0,62.0,1.0
충청북도,171020.5,2022-01-04,-3.0,0.0,0.0,0,0,0,0,11760.0,61.0,10858.0,61.0,0.0
충청남도,246424.5,2022-01-04,-1.7,0.0,0.0,0,0,0,0,18563.0,114.0,16252.0,110.0,4.0
전라북도,145575.5,2022-01-04,0.8,0.0,0.0,0,0,0,0,9910.0,92.0,8630.0,89.0,3.0
전라남도,209107.5,2022-01-04,2.1,0.0,0.0,0,0,0,0,6249.0,46.0,5554.0,42.0,4.0
경상북도,283895.5,2022-01-04,-0.6,0.0,0.0,0,0,0,0,15636.0,62.0,14005.0,59.0,3.0
경상남도,264565.0,2022-01-04,3.0,0.0,0.0,0,0,0,0,21229.0,117.0,19075.0,112.0,5.0
제주특별자치도,156488.5,2022-01-04,6.8,0.0,0.0,0,0,0,0,4726.0,18.0,4502.0,17.0,1.0
서울특별시,1175737.5,2022-01-05,-2.8,0.0,0.0,0,0,0,0,231213.0,1412.0,183420.0,1346.0,66.0
부산광역시,260330.0,2022-01-05,5.4,0.0,0.0,0,0,0,0,26076.0,255.0,22582.0,248.0,7.0
대구광역시,185013.5,2022-01-05,0.6,0.0,0.0,0,0,0,0,23629.0,112.0,21948.0,108.0,4.0
인천광역시,273696.5,2022-01-05,-3.2,0.0,0.0,0,0,0,0,37824.0,271.0,33246.0,261.0,10.0
광주광역시,117047.0,2022-01-05,2.2,0.0,0.0,0,0,0,0,8422.0,75.0,7593.0,73.0,2.0
대전광역시,146048.0,2022-01-05,-1.4,0.0,0.0,0,0,0,0,12508.0,51.0,10923.0,41.0,10.0
울산광역시,93520.0,2022-01-05,3.5,0.2,0.0,0,0,0,0,7101.0,48.0,6570.0,47.0,1.0
세종특별자치시,52755.5,2022-01-05,-2.6,0.0,0.0,0,0,0,0,2208.0,17.0,2049.0,17.0,0.0
경기도,1126797.0,2022-01-05,-3.9,0.0,0.0,0,0,0,0,192362.0,1467.0,155812.0,1416.0,51.0
강원도,234822.0,2022-01-05,-4.7,0.0,0.0,0,0,0,0,12709.0,69.0,11706.0,68.0,1.0
충청북도,180061.0,2022-01-05,-4.4,0.0,0.0,1,0,0,0,11828.0,68.0,10950.0,67.0,1.0
충청남도,253473.5,2022-01-05,-3.1,0.0,0.0,0,0,0,0,18702.0,139.0,16390.0,137.0,2.0
전라북도,147581.0,2022-01-05,0.1,0.0,0.0,0,0,0,0,10007.0,97.0,8736.0,93.0,4.0
전라남도,212919.0,2022-01-05,2.3,1.1,0.0,0,0,0,0,6309.0,60.0,5614.0,60.0,0.0
경상북도,288368.5,2022-01-05,-1.6,0.0,0.0,0,0,0,0,15733.0,97.0,14158.0,97.0,0.0
경상남도,268978.5,2022-01-05,0.3,0.0,0.0,0,0,0,0,21343.0,114.0,19280.0,111.0,3.0
제주특별자치도,160191.5,2022-01-05,5.8,18.8,0.0,0,0,0,0,4769.0,43.0,4531.0,43.0,0.0
서울특별시,1225234.5,2022-01-06,-2.2,0.0,0.0,0,0,0,0,232419.0,1208.0,184918.0,1150.0,58.0
부산광역시,271908.0,2022-01-06,6.1,0.0,0.0,0,0,0,0,26304.0,228.0,22975.0,222.0,6.0
대구광역시,190624.0,2022-01-06,2.9,0.0,0.0,0,0,0,0,23739.0,110.0,22066.0,106.0,4.0
인천광역시,287721.0,2022-01-06,-2.0,0.0,0.0,0,0,0,0,38107.0,283.0,33480.0,273.0,10.0
광주광역시,123077.5,2022-01-06,2.4,0.0,0.0,0,0,0,0,8513.0,91.0,7593.0,91.0,0.0
대전광역시,152768.0,2022-01-06,-0.7,0.0,0.0,0,0,0,0,12549.0,41.0,11004.0,38.0,3.0
울산광역시,97030.5,2022-01-06,4.7,0.0,0.0,0,0,0,0,7131.0,30.0,6604.0,28.0,2.0
세종특별자치시,56546.0,2022-01-06,-1.2,0.0,0.0,0,0,0,0,2226.0,18.0,2058.0,18.0,0.0
경기도,1179069.5,2022-01-06,-2.3,0.0,0.0,0,0,0,0,193888.0,1526.0,156060.0,1496.0,30.0
강원도,249287.5,2022-01-06,-4.1,0.0,0.0,0,0,0,0,12766.0,57.0,11840.0,54.0,3.0
충청북도,187568.5,2022-01-06,-4.0,0.0,0.0,1,0,0,0,11873.0,45.0,11011.0,45.0,0.0
충청남도,269230.5,2022-01-06,-2.7,0.0,0.0,0,0,0,0,18781.0,79.0,16500.0,77.0,2.0
전라북도,156765.0,2022-01-06,0.4,0.0,0.0,0,0,0,0,10078.0,71.0,8821.0,71.0,0.0
전라남도,223331.5,2022-01-06,2.7,0.0,0.0,0,0,0,0,6368.0,59.0,5661.0,57.0,2.0
경상북도,301497.0,2022-01-06,-1.3,0.0,0.0,0,0,0,0,15822.0,89.0,14322.0,88.0,1.0
경상남도,282548.0,2022-01-06,2.1,0.0,0.0,0,0,0,0,21446.0,103.0,19515.0,101.0,2.0
제주특별자치도,169487.5,2022-01-06,7.3,0.0,0.0,0,0,0,0,4788.0,19.0,4544.0,16.0,3.0
서울특별시,1325901.5,2022-01-07,-1.6,0.0,0.0,0,0,0,0,233457.0,1038.0,187191.0,979.0,59.0
부산광역시,308112.0,2022-01-07,5.8,0.0,0.0,0,0,0,0,26511.0,207.0,23228.0,204.0,3.0
대구광역시,218246.0,2022-01-07,0.1,0.0,0.0,0,0,0,0,23838.0,99.0,22193.0,95.0,4.0
인천광역시,320288.5,2022-01-07,-1.7,0.0,0.0,0,0,0,0,38288.0,181.0,33717.0,172.0,9.0
광주광역시,141771.0,2022-01-07,0.9,0.0,0.0,0,0,0,0,8600.0,87.0,7763.0,87.0,0.0
대전광역시,175339.5,2022-01-07,-1.5,0.0,0.0,0,0,0,0,12578.0,29.0,11051.0,28.0,1.0
울산광역시,106144.5,2022-01-07,3.9,0.0,0.0,0,0,0,0,7169.0,38.0,6644.0,33.0,5.0
세종특별자치시,62401.5,2022-01-07,-2.0,0.0,0.0,0,0,0,0,2240.0,14.0,2074.0,14.0,0.0
경기도,1298633.0,2022-01-07,-3.4,0.0,0.0,0,0,0,0,195149.0,1261.0,156249.0,1224.0,37.0
강원도,311517.5,2022-01-07,-4.9,0.0,0.0,0,0,0,0,12856.0,90.0,11916.0,88.0,2.0
충청북도,214630.5,2022-01-07,-5.9,0.0,0.0,1,0,0,0,11963.0,90.0,11063.0,88.0,2.0
충청남도,305833.5,2022-01-07,-3.4,0.0,0.0,0,0,0,0,18897.0,116.0,16618.0,108.0,8.0
전라북도,183883.0,2022-01-07,-1.0,0.0,0.0,0,0,0,0,10162.0,84.0,8920.0,78.0,6.0
전라남도,251993.0,2022-01-07,0.3,0.0,0.0,0,0,0,0,6492.0,124.0,5695.0,120.0,4.0
경상북도,344757.0,2022-01-07,-3.9,0.0,0.0,0,0,0,0,15931.0,109.0,14426.0,104.0,5.0
경상남도,315262.5,2022-01-07,-2.2,0.0,0.0,0,0,0,0,21548.0,102.0,19689.0,99.0,3.0
제주특별자치도,178549.0,2022-01-07,5.6,0.0,0.0,0,0,0,0,4798.0,10.0,4549.0,8.0,2.0
서울특별시,1551105.5,2022-01-08,0.3,0.0,0.0,0,1,0,1,234449.0,994.0,188072.0,933.0,61.0
부산광역시,400501.5,2022-01-08,5.7,0.0,0.0,0,1,0,0,26692.0,181.0,23526.0,173.0,8.0
대구광역시,287472.5,2022-01-08,1.4,0.0,0.0,0,1,0,0,23946.0,108.0,22340.0,104.0,4.0
인천광역시,434420.0,2022-01-08,1.6,0.0,0.0,0,1,0,1,38491.0,203.0,33916.0,193.0,10.0
광주광역시,178993.5,2022-01-08,1.7,0.0,0.0,0,1,0,0,8689.0,89.0,7866.0,87.0,2.0
대전광역시,235630.5,2022-01-08,0.7,0.0,0.0,0,1,0,0,12625.0,47.0,11218.0,42.0,5.0
울산광역시,133154.0,2022-01-08,4.6,0.0,0.0,0,1,0,0,7196.0,27.0,6701.0,27.0,0.0
세종특별자치시,81707.5,2022-01-08,0.3,0.0,0.0,0,1,0,0,2252.0,12.0,2091.0,11.0,1.0
경기도,1711720.5,2022-01-08,-2.4,0.0,0.0,0,1,0,1,196357.0,1208.0,165430.0,1168.0,40.0
강원도,483437.5,2022-01-08,-3.0,0.0,0.0,0,1,0,0,12937.0,81.0,12008.0,77.0,4.0
충청북도,290955.0,2022-01-08,-2.9,0.0,0.0,1,1,0,0,12016.0,53.0,11149.0,51.0,2.0
충청남도,444524.5,2022-01-08,-0.7,0.0,0.0,0,1,0,0,18993.0,96.0,16718.0,93.0,3.0
전라북도,264236.0,2022-01-08,1.4,0.0,0.0,0,1,0,0,10229.0,67.0,9012.0,64.0,3.0
전라남도,341271.0,2022-01-08,0.7,0.0,0.0,0,1,0,0,6588.0,96.0,5742.0,93.0,3.0
경상북도,491151.5,2022-01-08,-1.3,0.0,0.0,0,1,0,0,16016.0,85.0,14512.0,82.0,3.0
경상남도,427458.5,2022-01-08,-0.5,0.0,0.0,0,1,0,0,21648.0,101.0,19922.0,96.0,5.0
제주특별자치도,183526.0,2022-01-08,6.6,0.0,0.0,0,1,0,0,4807.0,9.0,4583.0,6.0,3.0
서울특별시,1289669.5,2022-01-09,1.3,0.0,0.0,0,1,0,0,235415.0,966.0,189400.0,891.0,75.0
부산광역시,360024.0,2022-01-09,5.9,0.0,0.0,0,1,0,0,26850.0,158.0,23798.0,151.0,7.0
대구광역시,243477.5,2022-01-09,2.0,0.0,0.0,0,1,0,0,24054.0,108.0,22458.0,105.0,3.0
인천광역시,390670.0,2022-01-09,0.5,0.0,0.0,0,1,0,0,38676.0,185.0,34136.0,172.0,13.0
광주광역시,148298.5,2022-01-09,3.3,0.0,0.0,0,1,0,0,8781.0,92.0,7971.0,88.0,4.0
대전광역시,196164.5,2022-01-09,2.5,0.0,0.0,0,1,0,1,12665.0,40.0,11243.0,35.0,5.0
울산광역시,124526.5,2022-01-09,5.5,0.0,0.0,0,1,0,0,7230.0,34.0,6741.0,31.0,3.0
세종특별자치시,62573.0,2022-01-09,1.8,0.0,0.0,0,1,0,1,2265.0,13.0,2113.0,13.0,0.0
경기도,1557339.0,2022-01-09,0.8,0.0,0.0,0,1,0,1,197471.0,1114.0,165637.0,1081.0,33.0
강원도,451433.5,2022-01-09,-0.4,0.0,0.0,0,1,0,1,13014.0,77.0,12081.0,70.0,7.0
충청북도,261719.5,2022-01-09,-0.6,0.0,0.0,1,1,0,1,12050.0,34.0,11224.0,32.0,2.0
충청남도,393820.0,2022-01-09,0.1,0.0,0.0,0,1,0,1,19104.0,111.0,16826.0,106.0,5.0
전라북도,241433.5,2022-01-09,2.9,0.0,0.0,0,1,0,1,10305.0,76.0,9116.0,71.0,5.0
전라남도,324047.5,2022-01-09,2.4,0.0,0.0,0,1,0,0,6700.0,112.0,5771.0,111.0,1.0
경상북도,493769.5,2022-01-09,1.0,0.0,0.0,0,1,0,1,16109.0,93.0,14556.0,89.0,4.0
경상남도,408705.5,2022-01-09,2.5,0.0,0.0,0,1,0,0,21746.0,98.0,20124.0,86.0,12.0
제주특별자치도,184961.0,2022-01-09,7.7,0.0,0.0,0,1,0,0,4818.0,11.0,4604.0,8.0,3.0
서울특별시,1244827.5,2022-01-10,0.5,0.9,0.9,0,0,0,0,236192.0,781.0,190067.0,718.0,63.0
부산광역시,291161.5,2022-01-10,7.4,0.0,0.0,0,0,0,1,27015.0,165.0,24067.0,158.0,7.0
대구광역시,201432.0,2022-01-10,3.0,0.0,0.0,0,0,0,1,24148.0,94.0,22561.0,89.0,5.0
인천광역시,292082.0,2022-01-10,-0.1,1.2,0.7,0,0,0,0,38801.0,125.0,34308.0,115.0,10.0
광주광역시,131302.5,2022-01-10,2.8,0.0,0.0,0,0,0,1,8914.0,133.0,8040.0,131.0,2.0
대전광역시,159712.0,2022-01-10,0.7,0.0,0.0,0,0,0,0,12698.0,33.0,11271.0,30.0,3.0
울산광역시,100023.0,2022-01-10,6.2,0.0,0.0,0,0,0,0,7253.0,23.0,6782.0,20.0,3.0
세종특별자치시,55765.5,2022-01-10,0.1,0.3,0.0,0,0,0,0,2278.0,13.0,2129.0,12.0,1.0
경기도,1209768.0,2022-01-10,-1.4,0.0,0.0,0,0,1,0,198485.0,1014.0,165767.0,982.0,32.0
강원도,286373.5,2022-01-10,-1.7,0.0,0.0,1,0,0,0,13074.0,60.0,12151.0,56.0,4.0
충청북도,196227.5,2022-01-10,-2.3,0.3,0.0,1,0,0,0,12080.0,30.0,11286.0,27.0,3.0
충청남도,275131.5,2022-01-10,-0.5,1.1,0.0,0,0,0,0,19202.0,101.0,16947.0,90.0,11.0
전라북도,168945.0,2022-01-10,1.7,0.0,0.0,0,0,0,1,10401.0,96.0,9252.0,93.0,3.0
전라남도,232886.5,2022-01-10,2.5,0.0,0.0,0,0,0,1,6786.0,86.0,5771.0,83.0,3.0
경상북도,314940.5,2022-01-10,-0.3,0.0,0.0,0,0,0,0,16197.0,88.0,14633.0,79.0,9.0
경상남도,298193.0,2022-01-10,1.4,0.0,0.0,0,0,0,1,21826.0,80.0,20316.0,77.0,3.0
제주특별자치도,188692.0,2022-01-10,7.6,0.1,0.0,0,0,0,0,4831.0,13.0,4624.0,8.0,5.0
서울특별시,1284853.5,2022-01-11,-7.4,0.2,1.0,0,0,0,0,236946.0,755.0,191317.0,670.0,85.0
부산광역시,294770.0,2022-01-11,1.5,0.0,0.0,0,0,0,0,27130.0,115.0,24294.0,108.0,7.0
대구광역시,200259.5,2022-01-11,-0.9,0.0,0.0,0,0,0,0,24218.0,71.0,22697.0,66.0,5.0
인천광역시,297230.5,2022-01-11,-7.5,0.0,0.7,0,0,0,0,38955.0,154.0,34498.0,140.0,14.0
광주광역시,127396.5,2022-01-11,-1.6,0.2,2.3,0,0,0,0,9090.0,176.0,8094.0,175.0,1.0
대전광역시,160282.5,2022-01-11,-3.8,0.3,0.4,0,0,0,0,12741.0,43.0,11530.0,34.0,9.0
울산광역시,102469.5,2022-01-11,0.2,0.0,0.0,0,0,0,0,7275.0,22.0,6823.0,17.0,5.0
세종특별자치시,57890.0,2022-01-11,-4.5,0.1,0.0,0,0,0,0,2294.0,16.0,2147.0,15.0,1.0
경기도,1225423.5,2022-01-11,-5.4,0.8,0.0,0,0,0,0,199600.0,1115.0,165992.0,1055.0,60.0
강원도,265020.0,2022-01-11,-5.1,0.3,0.0,1,0,0,0,13162.0,88.0,12214.0,85.0,3.0
충청북도,197547.0,2022-01-11,-6.5,0.5,0.0,1,0,0,0,12134.0,54.0,11375.0,53.0,1.0
충청남도,274610.0,2022-01-11,-4.4,0.0,0.0,0,0,0,0,19307.0,105.0,17059.0,98.0,7.0
전라북도,163968.0,2022-01-11,-2.7,0.3,0.0,0,0,0,0,10459.0,58.0,9346.0,55.0,3.0
전라남도,221998.0,2022-01-11,-0.3,0.7,0.0,0,0,0,0,6874.0,88.0,5846.0,87.0,1.0
경상북도,316778.0,2022-01-11,-3.0,0.1,0.0,0,0,0,0,16257.0,60.0,14837.0,58.0,2.0
경상남도,298637.5,2022-01-11,-1.7,0.0,0.0,0,0,0,0,21918.0,92.0,20486.0,84.0,8.0
제주특별자치도,188811.0,2022-01-11,3.6,2.1,0.4,0,0,0,0,4846.0,15.0,4645.0,13.0,2.0
서울특별시,1302070.0,2022-01-12,-7.7,0.0,0.2,0,0,0,0,238039.0,1093.0,191317.0,973.0,120.0
부산광역시,296275.0,2022-01-12,-1.3,0.0,0.0,0,0,0,0,27294.0,164.0,24511.0,156.0,8.0
대구광역시,207235.0,2022-01-12,-3.2,0.0,0.0,0,0,0,0,24311.0,93.0,22788.0,91.0,2.0
인천광역시,305294.5,2022-01-12,-6.9,0.0,0.1,0,0,0,0,39216.0,262.0,34707.0,243.0,19.0
광주광역시,131950.0,2022-01-12,-2.5,0.0,0.0,0,0,0,0,9248.0,158.0,8164.0,158.0,0.0
대전광역시,163824.5,2022-01-12,-5.1,0.0,0.0,0,0,0,0,12831.0,90.0,11545.0,81.0,9.0
울산광역시,101895.5,2022-01-12,-1.9,0.0,0.0,0,0,0,0,7302.0,27.0,6888.0,27.0,0.0
세종특별자치시,59787.0,2022-01-12,-5.8,0.0,0.0,0,0,0,0,2308.0,14.0,2163.0,14.0,0.0
경기도,1246871.5,2022-01-12,-7.1,0.0,0.0,0,0,0,0,201227.0,1629.0,166188.0,1567.0,62.0
강원도,265877.5,2022-01-12,-8.6,0.0,0.0,1,0,0,0,13279.0,117.0,12288.0,113.0,4.0
충청북도,204144.5,2022-01-12,-9.1,0.0,0.0,1,0,0,0,12202.0,68.0,11443.0,66.0,2.0
충청남도,282866.5,2022-01-12,-5.7,0.0,0.0,0,0,0,0,19422.0,115.0,17151.0,112.0,3.0
전라북도,168147.0,2022-01-12,-3.7,0.0,0.0,0,0,0,0,10517.0,58.0,9556.0,58.0,0.0
전라남도,226051.0,2022-01-12,-1.3,0.0,0.0,0,0,0,0,7038.0,164.0,5884.0,160.0,4.0
경상북도,317338.0,2022-01-12,-5.6,0.0,0.0,0,0,0,0,16334.0,77.0,14949.0,72.0,5.0
경상남도,300744.5,2022-01-12,-3.0,0.0,0.0,0,0,0,0,22037.0,119.0,20637.0,112.0,7.0
제주특별자치도,195048.0,2022-01-12,3.8,0.0,0.0,0,0,0,0,4851.0,5.0,4663.0,4.0,1.0
서울특별시,1333909.5,2022-01-13,-6.4,0.0,0.0,0,0,0,0,239014.0,978.0,194346.0,858.0,120.0
부산광역시,304531.5,2022-01-13,-1.1,0.0,0.0,0,0,0,0,27456.0,162.0,24812.0,156.0,6.0
대구광역시,212170.0,2022-01-13,-2.8,0.0,0.0,0,0,0,0,24436.0,125.0,22883.0,119.0,6.0
인천광역시,310156.0,2022-01-13,-5.6,0.0,0.0,0,0,0,0,39456.0,240.0,34847.0,224.0,16.0
광주광역시,132086.5,2022-01-13,-2.5,0.0,0.4,0,0,0,0,9436.0,188.0,8221.0,182.0,6.0
대전광역시,167160.0,2022-01-13,-4.5,0.4,1.0,0,0,0,0,12899.0,68.0,11636.0,63.0,5.0
울산광역시,105990.5,2022-01-13,-1.9,0.0,0.0,0,0,0,0,7329.0,27.0,6928.0,26.0,1.0
세종특별자치시,61166.0,2022-01-13,-4.9,0.0,0.0,0,0,0,0,2315.0,7.0,2172.0,6.0,1.0
경기도,1281024.5,2022-01-13,-6.3,0.0,0.0,0,0,0,0,202762.0,1535.0,166404.0,1444.0,91.0
강원도,273784.0,2022-01-13,-8.5,0.0,0.0,1,0,0,0,13368.0,89.0,12342.0,82.0,7.0
충청북도,207364.5,2022-01-13,-8.0,0.0,0.0,1,0,0,0,12263.0,61.0,11491.0,58.0,3.0
충청남도,283587.5,2022-01-13,-4.4,1.2,0.0,0,0,0,0,19553.0,131.0,17151.0,126.0,5.0
전라북도,169823.5,2022-01-13,-3.9,0.2,0.4,0,0,0,0,10623.0,106.0,9632.0,106.0,0.0
전라남도,224588.0,2022-01-13,-1.2,0.4,0.0,0,0,0,0,7174.0,136.0,5884.0,133.0,3.0
경상북도,324002.0,2022-01-13,-5.2,0.0,0.0,0,0,0,0,16433.0,99.0,14975.0,92.0,7.0
경상남도,308745.5,2022-01-13,-3.9,0.0,0.0,0,0,0,0,22152.0,115.0,20757.0,94.0,21.0
제주특별자치도,200490.5,2022-01-13,4.0,2.1,0.0,0,0,0,0,4858.0,7.0,4687.0,7.0,0.0
서울특별시,1429624.0,2022-01-14,-4.8,0.0,0.0,0,0,0,0,239950.0,939.0,194347.0,835.0,104.0
부산광역시,334257.0,2022-01-14,-0.2,0.0,0.0,0,0,0,0,27583.0,127.0,24987.0,121.0,6.0
대구광역시,239666.0,2022-01-14,-2.6,0.0,0.0,0,0,0,0,24526.0,90.0,22976.0,77.0,13.0
인천광역시,347203.5,2022-01-14,-4.7,0.0,0.0,0,0,0,0,39722.0,266.0,34965.0,242.0,24.0
광주광역시,153587.0,2022-01-14,-0.9,0.0,0.4,0,0,0,0,9660.0,224.0,8221.0,224.0,0.0
대전광역시,191506.0,2022-01-14,-4.0,0.0,0.0,0,0,0,0,12965.0,66.0,11666.0,64.0,2.0
울산광역시,114093.0,2022-01-14,-2.1,0.0,0.0,0,0,0,0,7369.0,40.0,6967.0,34.0,6.0
