areaNm,baseYmd,festival_no,festival_yes,holiday_no,holiday_yes,PM10_no,PM10_yes,PM25_no,PM25_yes,dayRf_no,dayRf_yes,touNum,avgTemp,AccumulateCovid19,increase
강원도,2022-01-04,1,0,1,0,1,0,1,0,1,0,230898.5,-3.4,12640.0,63.0
충청북도,2022-01-04,1,0,1,0,1,0,1,0,1,0,171020.5,-3.0,11760.0,61.0
충청남도,2022-01-04,1,0,1,0,1,0,1,0,1,0,246424.5,-1.7,18563.0,114.0
전라북도,2022-01-04,1,0,1,0,1,0,1,0,1,0,145575.5,0.8,9910.0,92.0
전라남도,2022-01-04,1,0,1,0,1,0,1,0,1,0,209107.5,2.1,6249.0,46.0
경상북도,2022-01-04,1,0,1,0,1,0,1,0,1,0,283895.5,-0.6,15636.0,62.0
경상남도,2022-01-04,1,0,1,0,1,0,1,0,1,0,264565.0,3.0,21229.0,117.0
제주특별자치도,2022-01-04,1,0,1,0,1,0,1,0,1,0,156488.5,6.8,4726.0,18.0
서울특별시,2022-01-05,1,0,1,0,1,0,1,0,1,0,1175737.5,-2.8,231213.0,1412.0
부산광역시,2022-01-05,1,0,1,0,1,0,1,0,1,0,260330.0,5.4,26076.0,255.0
대구광역시,2022-01-05,1,0,1,0,1,0,1,0,1,0,185013.5,0.6,23629.0,112.0
인천광역시,2022-01-05,1,0,1,0,1,0,1,0,1,0,273696.5,-3.2,37824.0,271.0
광주광역시,2022-01-05,1,0,1,0,1,0,1,0,1,0,117047.0,2.2,8422.0,75.0
대전광역시,2022-01-05,1,0,1,0,1,0,1,0,1,0,146048.0,-1.4,12508.0,51.0
울산광역시,2022-01-05,1,0,1,0,1,0,1,0,0,1,93520.0,3.5,7101.0,48.0
세종특별자치시,2022-01-05,1,0,1,0,1,0,1,0,1,0,52755.5,-2.6,2208.0,17.0
경기도,2022-01-05,1,0,1,0,1,0,1,0,1,0,1126797.0,-3.9,192362.0,1467.0
강원도,2022-01-05,1,0,1,0,1,0,1,0,1,0,234822.0,-4.7,12709.0,69.0
충청북도,2022-01-05,0,1,1,0,1,0,1,0,1,0,180061.0,-4.4,11828.0,68.0
충청남도,2022-01-05,1,0,1,0,1,0,1,0,1,0,253473.5,-3.1,18702.0,139.0
전라북도,2022-01-05,1,0,1,0,1,0,1,0,1,0,147581.0,0.1,10007.0,97.0
전라남도,2022-01-05,1,0,1,0,1,0,1,0,0,1,212919.0,2.3,6309.0,60.0
경상북도,2022-01-05,1,0,1,0,1,0,1,0,1,0,288368.5,-1.6,15733.0,97.0
경상남도,2022-01-05,1,0,1,0,1,0,1,0,1,0,268978.5,0.3,21343.0,114.0
제주특별자치도,2022-01-05,1,0,1,0,1,0,1,0,0,1,160191.5,5.8,4769.0,43.0
서울특별시,2022-01-06,1,0,1,0,1,0,1,0,1,0,1225234.5,-2.2,232419.0,1208.0
부산광역시,2022-01-06,1,0,1,0,1,0,1,0,1,0,271908.0,6.1,26304.0,228.0
대구광역시,2022-01-06,1,0,1,0,1,0,1,0,1,0,190624.0,2.9,23739.0,110.0
인천광역시,2022-01-06,1,0,1,0,1,0,1,0,1,0,287721.0,-2.0,38107.0,283.0
광주광역시,2022-01-06,1,0,1,0,1,0,1,0,1,0,123077.5,2.4,8513.0,91.0
대전광역시,2022-01-06,1,0,1,0,1,0,1,0,1,0,152768.0,-0.7,12549.0,41.0
울산광역시,2022-01-06,1,0,1,0,1,0,1,0,1,0,97030.5,4.7,7131.0,30.0
세종특별자치시,2022-01-06,1,0,1,0,1,0,1,0,1,0,56546.0,-1.2,2226.0,18.0
경기도,2022-01-06,1,0,1,0,1,0,1,0,1,0,1179069.5,-2.3,193888.0,1526.0
강원도,2022-01-06,1,0,1,0,1,0,1,0,1,0,249287.5,-4.1,12766.0,57.0
충청북도,2022-01-06,0,1,1,0,1,0,1,0,1,0,187568.5,-4.0,11873.0,45.0
충청남도,2022-01-06,1,0,1,0,1,0,1,0,1,0,269230.5,-2.7,18781.0,79.0
전라북도,2022-01-06,1,0,1,0,1,0,1,0,1,0,156765.0,0.4,10078.0,71.0
전라남도,2022-01-06,1,0,1,0,1,0,1,0,1,0,223331.5,2.7,6368.0,59.0
경상북도,2022-01-06,1,0,1,0,1,0,1,0,1,0,301497.0,-1.3,15822.0,89.0
경상남도,2022-01-06,1,0,1,0,1,0,1,0,1,0,282548.0,2.1,21446.0,103.0
제주특별자치도,2022-01-06,1,0,1,0,1,0,1,0,1,0,169487.5,7.3,4788.0,19.0
서울특별시,2022-01-07,1,0,1,0,1,0,1,0,1,0,1325901.5,-1.6,233457.0,1038.0
부산광역시,2022-01-07,1,0,1,0,1,0,1,0,1,0,308112.0,5.8,26511.0,207.0
대구광역시,2022-01-07,1,0,1,0,1,0,1,0,1,0,218246.0,0.1,23838.0,99.0
인천광역시,2022-01-07,1,0,1,0,1,0,1,0,1,0,320288.5,-1.7,38288.0,181.0
광주광역시,2022-01-07,1,0,1,0,1,0,1,0,1,0,141771.0,0.9,8600.0,87.0
대전광역시,2022-01-07,1,0,1,0,1,0,1,0,1,0,175339.5,-1.5,12578.0,29.0
울산광역시,2022-01-07,1,0,1,0,1,0,1,0,1,0,106144.5,3.9,7169.0,38.0
세종특별자치시,2022-01-07,1,0,1,0,1,0,1,0,1,0,62401.5,-2.0,2240.0,14.0
경기도,2022-01-07,1,0,1,0,1,0,1,0,1,0,1298633.0,-3.4,195149.0,1261.0
강원도,2022-01-07,1,0,1,0,1,0,1,0,1,0,311517.5,-4.9,12856.0,90.0
충청북도,2022-01-07,0,1,1,0,1,0,1,0,1,0,214630.5,-5.9,11963.0,90.0
충청남도,2022-01-07,1,0,1,0,1,0,1,0,1,0,305833.5,-3.4,18897.0,116.0
전라북도,2022-01-07,1,0,1,0,1,0,1,0,1,0,183883.0,-1.0,10162.0,84.0
전라남도,2022-01-07,1,0,1,0,1,0,1,0,1,0,251993.0,0.3,6492.0,124.0
경상북도,2022-01-07,1,0,1,0,1,0,1,0,1,0,344757.0,-3.9,15931.0,109.0
경상남도,2022-01-07,1,0,1,0,1,0,1,0,1,0,315262.5,-2.2,21548.0,102.0
제주특별자치도,2022-01-07,1,0,1,0,1,0,1,0,1,0,178549.0,5.6,4798.0,10.0
서울특별시,2022-01-08,1,0,0,1,1,0,0,1,1,0,1551105.5,0.3,234449.0,994.0
부산광역시,2022-01-08,1,0,0,1,1,0,1,0,1,0,400501.5,5.7,26692.0,181.0
대구광역시,2022-01-08,1,0,0,1,1,0,1,0,1,0,287472.5,1.4,23946.0,108.0
인천광역시,2022-01-08,1,0,0,1,1,0,0,1,1,0,434420.0,1.6,38491.0,203.0
광주광역시,2022-01-08,1,0,0,1,1,0,1,0,1,0,178993.5,1.7,8689.0,89.0
대전광역시,2022-01-08,1,0,0,1,1,0,1,0,1,0,235630.5,0.7,12625.0,47.0
울산광역시,2022-01-08,1,0,0,1,1,0,1,0,1,0,133154.0,4.6,7196.0,27.0
세종특별자치시,2022-01-08,1,0,0,1,1,0,1,0,1,0,81707.5,0.3,2252.0,12.0
경기도,2022-01-08,1,0,0,1,1,0,0,1,1,0,1711720.5,-2.4,196357.0,1208.0
강원도,2022-01-08,1,0,0,1,1,0,1,0,1,0,483437.5,-3.0,12937.0,81.0
충청북도,2022-01-08,0,1,0,1,1,0,1,0,1,0,290955.0,-2.9,12016.0,53.0
충청남도,2022-01-08,1,0,0,1,1,0,1,0,1,0,444524.5,-0.7,18993.0,96.0
전라북도,2022-01-08,1,0,0,1,1,0,1,0,1,0,264236.0,1.4,10229.0,67.0
전라남도,2022-01-08,1,0,0,1,1,0,1,0,1,0,341271.0,0.7,6588.0,96.0
경상북도,2022-01-08,1,0,0,1,1,0,1,0,1,0,491151.5,-1.3,16016.0,85.0
경상남도,2022-01-08,1,0,0,1,1,0,1,0,1,0,427458.5,-0.5,21648.0,101.0
제주특별자치도,2022-01-08,1,0,0,1,1,0,1,0,1,0,183526.0,6.6,4807.0,9.0
서울특별시,2022-01-09,1,0,0,1,1,0,1,0,1,0,1289669.5,1.3,235415.0,966.0
부산광역시,2022-01-09,1,0,0,1,1,0,1,0,1,0,360024.0,5.9,26850.0,158.0
대구광역시,2022-01-09,1,0,0,1,1,0,1,0,1,0,243477.5,2.0,24054.0,108.0
인천광역시,2022-01-09,1,0,0,1,1,0,1,0,1,0,390670.0,0.5,38676.0,185.0
