touNum,avgTemp,AccumulateCovid19,increase,baseYmd,festival_no,festival_yes,holiday_no,holiday_yes,PM10_no,PM10_yes,PM25_no,PM25_yes,dayRf_no,dayRf_yes
0.0,-0.20279720279720267,-0.5125043451908764,0.0,2022-03-26,1,0,0,1,1,0,1,0,0,1
0.0,-0.20279720279720267,-0.4867380317845142,0.0,2022-03-27,1,0,0,1,1,0,1,0,1,0
0.30744485294117646,-0.49650349650349646,-0.47489059032203434,1.111901000526593,2022-03-28,1,0,1,0,1,0,1,0,1,0
0.33527193204868155,-0.3636363636363636,-0.43937500557075754,0.0,2022-03-29,1,0,1,0,1,0,1,0,1,0
0.31384698275862066,-0.18881118881118875,-0.4100630164092234,0.0,2022-03-30,1,0,1,0,1,0,1,0,1,0
0.37320930527383367,-0.3636363636363636,-0.3868084461597426,0.0,2022-03-31,1,0,1,0,1,0,1,0,1,0
0.0,-0.5244755244755245,-0.3656823509488114,0.0,2022-04-01,1,0,1,0,1,0,1,0,1,0
0.3673776622718053,-0.44055944055944046,-0.34663303414651536,2.1769352290679307,2022-04-02,1,0,0,1,1,0,1,0,1,0
0.11620499492900609,-0.34965034965034963,-0.3303789006444252,1.762769878883623,2022-04-03,1,0,0,1,1,0,1,0,1,0
0.0,-0.3076923076923076,-0.3231057196081752,0.43628225381779884,2022-04-04,1,0,1,0,1,0,1,0,1,0
0.0,-0.22377622377622372,-0.3231057196081752,0.43628225381779884,2022-04-05,1,0,1,0,1,0,1,0,1,0
0.0,-0.13286713286713275,-0.28256130061590295,2.122696155871511,2022-04-06,1,0,1,0,1,0,1,0,1,0
0.0,-0.13286713286713275,-0.28256130061590295,2.122696155871511,2022-04-07,1,0,1,0,1,0,1,0,1,0
-0.3719732505070994,-0.14685314685314682,-0.25417985079283023,1.3304370721432333,2022-04-08,1,0,1,0,1,0,1,0,1,0
0.7639610801217038,0.0,-0.25417985079283023,1.3304370721432333,2022-04-09,0,1,0,1,1,0,1,0,1,0
0.45257036004056794,0.07692307692307702,-0.25417985079283023,1.3304370721432333,2022-04-10,0,1,0,1,1,0,1,0,1,0
0.0,0.048951048951048896,-0.22654889342472348,0.022116903633491312,2022-04-11,0,1,1,0,1,0,1,0,0,1
0.0,0.08391608391608386,-0.20943196099578404,1.8923117430226435,2022-04-12,0,1,1,0,1,0,1,0,1,0
0.0,-0.2727272727272726,-0.20943196099578404,1.8923117430226435,2022-04-13,0,1,1,0,1,0,1,0,1,0
0.0,-0.4055944055944055,-0.20943196099578404,1.8923117430226435,2022-04-14,0,1,1,0,1,0,1,0,0,1
-0.22485103955375255,-0.3146853146853147,-0.20943196099578404,1.8923117430226435,2022-04-15,0,1,1,0,1,0,1,0,1,0
0.9202427738336714,-0.3216783216783216,-0.17333345217616072,0.3923117430226435,2022-04-16,0,1,0,1,1,0,1,0,1,0
0.6216880070993914,-0.1258741258741258,-0.16731703403955683,0.2506582411795682,2022-04-17,0,1,0,1,1,0,1,0,1,0
-0.5450526115618661,0.006993006993007092,-0.16731703403955683,0.2506582411795682,2022-04-18,1,0,1,0,1,0,1,0,1,0
-0.5571596095334685,0.05594405594405599,-0.15532519854179852,0.7796208530805687,2022-04-19,1,0,1,0,1,0,1,0,1,0
-0.5156091531440162,0.1538461538461538,-0.14864207214353836,0.34965771458662454,2022-04-20,1,0,1,0,1,0,1,0,1,0
-0.4947229969574036,-0.1538461538461538,-0.14864207214353836,0.34965771458662454,2022-04-21,1,0,1,0,1,0,1,0,0,1
0.06159672920892495,-0.048951048951048896,-0.13675897783284163,0.1861506055818852,2022-04-22,1,0,1,0,1,0,1,0,1,0
0.0,0.04195804195804206,-0.13675897783284163,0.1861506055818852,2022-04-23,1,0,0,1,1,0,1,0,1,0
0.81514642494929,0.06993006993006992,-0.13675897783284163,0.1861506055818852,2022-04-24,1,0,0,1,1,0,1,0,1,0
-0.36252852434077076,0.1608391608391609,-0.12451044182792152,-0.3557135334386519,2022-04-25,1,0,1,0,1,0,1,0,0,1
-0.5381750760649088,0.048951048951048896,-0.12451044182792152,-0.3557135334386519,2022-04-26,1,0,1,0,1,0,1,0,0,1
-0.29749302738336714,-0.013986013986013936,-0.11199807474619629,0.1590310689836756,2022-04-27,1,0,1,0,1,0,1,0,1,0
-0.1807967799188641,-0.05594405594405587,-0.11199807474619629,0.1590310689836756,2022-04-28,1,0,1,0,1,0,1,0,1,0
0.21749809837728196,-0.3846153846153846,-0.10362678598486537,-0.0444971037388099,2022-04-29,1,0,1,0,1,0,1,0,0,1
0.0,-0.23076923076923067,-0.10001515246049218,-0.10321221695629279,2022-04-30,1,0,0,1,1,0,1,0,1,0
0.49202903144016225,-0.13286713286713275,-0.09710053211875964,-0.20747761979989468,2022-05-01,1,0,0,1,1,0,1,0,1,0
0.0,-0.20279720279720267,-0.09710053211875964,-0.20747761979989468,2022-05-02,1,0,1,0,1,0,1,0,0,1
0.0,-0.19580419580419572,-0.09075254249373847,0.11769352290679305,2022-05-03,1,0,1,0,1,0,1,0,1,0
-0.3947610294117647,-0.048951048951048896,-0.08688242581979268,-0.06635071090047394,2022-05-04,1,0,1,0,1,0,1,0,1,0
