touNum,avgTemp,AccumulateCovid19,increase,baseYmd,festival_no,festival_yes,holiday_no,holiday_yes,PM10_no,PM10_yes,PM25_no,PM25_yes,dayRf_no,dayRf_yes
-0.040600443280274026,-0.042553191489361555,-0.061136557241447426,0.0,2022-05-14,0,1,0,1,1,0,1,0,1,0
-0.10366713681241185,-0.06382978723404246,-0.061136557241447426,0.0,2022-05-15,0,1,0,1,1,0,1,0,1,0
-0.23524078178521055,0.05673758865248233,-0.061136557241447426,0.0,2022-05-16,1,0,1,0,1,0,1,0,1,0
-0.3304452951843643,0.2695035460992909,-0.061136557241447426,0.0,2022-05-17,1,0,1,0,1,0,1,0,1,0
-0.2610316340922829,0.31205673758865266,-0.05274756478475043,0.031144781144781145,2022-05-18,1,0,1,0,1,0,1,0,1,0
-0.2224461011484989,0.24113475177304983,-0.05274756478475043,0.031144781144781145,2022-05-19,1,0,1,0,1,0,1,0,1,0
-0.0843239975821076,0.2624113475177305,-0.05274756478475043,0.031144781144781145,2022-05-20,1,0,1,0,1,0,1,0,1,0
0.1234132581100141,0.22695035460992907,-0.045759824195360434,-0.021043771043771045,2022-05-21,1,0,0,1,1,0,1,0,1,0
0.04896232117670764,0.2978723404255319,-0.04403140779515796,-0.10521885521885523,2022-05-22,1,0,0,1,1,0,1,0,1,0
-0.09107394720934918,0.3687943262411348,-0.042438795540685685,-0.12373737373737374,2022-05-23,1,0,1,0,1,0,1,0,1,0
-0.19554704815635704,0.3049645390070923,-0.042438795540685685,-0.12373737373737374,2022-05-24,1,0,1,0,1,0,1,0,1,0
-0.2081402377594197,0.28368794326241137,-0.042438795540685685,-0.12373737373737374,2022-05-25,1,0,1,0,1,0,1,0,1,0
-0.09792464235341528,0.1631205673758866,-0.042438795540685685,-0.12373737373737374,2022-05-26,1,0,1,0,1,0,1,0,1,0
0.04271609913358856,0.4255319148936171,-0.042438795540685685,-0.12373737373737374,2022-05-27,1,0,1,0,1,0,1,0,1,0
0.1999798508966351,0.3333333333333333,-0.03185224508944555,-0.10521885521885523,2022-05-28,1,0,0,1,1,0,1,0,1,0
0.1298609711867822,0.27659574468085124,-0.03185224508944555,-0.10521885521885523,2022-05-29,1,0,0,1,1,0,1,0,1,0
-0.08190610517831956,0.21985815602836892,-0.03185224508944555,-0.10521885521885523,2022-05-30,1,0,1,0,1,0,1,0,1,0
-0.12230505742494459,0.2624113475177305,-0.028043556093285103,-0.14225589225589225,2022-05-31,1,0,1,0,1,0,1,0,1,0
-0.3392101551480959,0.2695035460992909,-0.028043556093285103,-0.14225589225589225,2022-06-01,1,0,0,1,1,0,1,0,1,0
-0.24289744106387265,0.31914893617021284,-0.028043556093285103,-0.14225589225589225,2022-06-02,1,0,1,0,1,0,1,0,1,0
-0.17106588756800323,0.28368794326241137,-0.024197829602834602,-0.22138047138047137,2022-06-03,1,0,1,0,1,0,1,0,1,0
0.0,0.446808510638298,-0.02290151730268275,-0.16414141414141414,2022-06-04,1,0,0,1,1,0,1,0,1,0
0.0,0.13475177304964556,-0.02290151730268275,-0.16414141414141414,2022-06-05,1,0,0,1,1,0,1,0,0,1
0.0,0.21985815602836892,-0.02290151730268275,-0.16414141414141414,2022-06-06,1,0,0,1,1,0,1,0,0,1
-0.4844851904090268,0.24822695035460995,-0.02290151730268275,-0.16414141414141414,2022-06-07,1,0,1,0,1,0,1,0,0,1
-0.1698569413661092,0.2978723404255319,-0.01921628662082248,-0.19444444444444445,2022-06-08,1,0,1,0,1,0,1,0,1,0
-0.02982067298005239,0.2978723404255319,-0.01921628662082248,-0.19444444444444445,2022-06-09,1,0,1,0,1,0,1,0,1,0
0.14104372355430184,0.41134751773049655,-0.016987864047704294,-0.20454545454545456,2022-06-10,1,0,1,0,1,0,1,0,1,0
0.2625428168446504,0.31205673758865266,-0.016987864047704294,-0.20454545454545456,2022-06-11,0,1,0,1,1,0,1,0,0,1
0.2074350191416482,0.3404255319148937,-0.016987864047704294,-0.20454545454545456,2022-06-12,1,0,0,1,1,0,1,0,1,0
0.09852911545436228,0.24113475177304983,-0.016987864047704294,-0.20454545454545456,2022-06-13,1,0,1,0,1,0,1,0,0,1
0.0691114245416079,0.12765957446808518,-0.014123631155940198,-0.24663299663299662,2022-06-14,1,0,1,0,1,0,1,0,0,1
0.14164819665524883,0.41134751773049655,-0.014123631155940198,-0.24663299663299662,2022-06-15,1,0,1,0,1,0,1,0,1,0
0.2771509167842031,0.3617021276595746,-0.014123631155940198,-0.24663299663299662,2022-06-16,1,0,1,0,1,0,1,0,1,0
0.3976425549063067,0.37588652482269513,-0.014123631155940198,-0.24663299663299662,2022-06-17,1,0,1,0,1,0,1,0,1,0
0.4747128752770502,0.475177304964539,-0.014123631155940198,-0.24663299663299662,2022-06-18,1,0,0,1,1,0,1,0,1,0
0.3789038887769494,0.5602836879432627,-0.014123631155940198,-0.24663299663299662,2022-06-19,0,1,0,1,1,0,1,0,1,0
0.28732621398347774,0.4609929078014185,-0.014123631155940198,-0.24663299663299662,2022-06-20,1,0,1,0,1,0,1,0,1,0
0.23231916179730003,0.48226950354609943,-0.014123631155940198,-0.24663299663299662,2022-06-21,1,0,1,0,1,0,1,0,0,1
0.0,0.4609929078014185,-0.00827170705811183,-0.2037037037037037,2022-06-22,1,0,1,0,1,0,1,0,1,0
0.0,0.0,-0.00827170705811183,-0.2037037037037037,2022-06-23,1,0,1,0,1,0,1,0,1,0
0.0,0.0,-0.00827170705811183,-0.2037037037037037,2022-06-24,1,0,1,0,1,0,1,0,0,1
0.0,0.0,-0.006321065692169039,-0.26936026936026936,2022-06-25,1,0,0,1,1,0,1,0,1,0
0.0,0.0,-0.006321065692169039,-0.26936026936026936,2022-06-26,1,0,0,1,1,0,1,0,1,0
0.0,0.0,-0.006321065692169039,-0.26936026936026936,2022-06-27,1,0,1,0,1,0,1,0,1,0
0.0,0.0,-0.006321065692169039,-0.26936026936026936,2022-06-28,1,0,1,0,1,0,1,0,1,0
0.0,0.0,-0.006321065692169039,-0.26936026936026936,2022-06-29,1,0,1,0,1,0,1,0,1,0
0.0,0.0,-0.006321065692169039,-0.26936026936026936,2022-06-30,1,0,1,0,1,0,1,0,1,0
0.0,0.0,-0.0013333497944419067,-0.18602693602693604,2022-07-01,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.0,-0.1590909090909091,2022-07-02,1,0,0,1,1,0,1,0,1,0
0.0,0.0,0.0,-0.1590909090909091,2022-07-03,1,0,0,1,1,0,1,0,1,0
0.0,0.0,0.0023518808874183634,-0.19444444444444445,2022-07-04,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.004111161866195879,-0.10101010101010101,2022-07-05,1,0,1,0,1,0,1,0,0,1
0.0,0.0,0.006463042753614242,-0.020202020202020204,2022-07-06,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.009012456943912887,0.006734006734006734,2022-07-07,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.011444585735626366,-0.009259259259259259,2022-07-08,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.013703872887319597,-0.03282828282828283,2022-07-09,1,0,0,1,1,0,1,0,1,0
0.0,0.0,0.016740947419103938,0.07323232323232323,2022-07-10,1,0,0,1,1,0,1,0,1,0
0.0,0.0,0.018957024160792108,-0.03872053872053872,2022-07-11,1,0,1,0,1,0,1,0,0,1
0.0,0.0,0.02230274447832689,0.11531986531986532,2022-07-12,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.0282534352275954,0.47053872053872053,2022-07-13,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.03352510524821294,0.3779461279461279,2022-07-14,1,0,1,0,1,0,1,0,0,1
0.0,0.0,0.03893875233027568,0.39814814814814814,2022-07-15,1,0,1,0,1,0,1,0,0,1
0.0,0.0,0.04490796182668922,0.4730639730639731,2022-07-16,1,0,0,1,1,0,1,0,1,0
0.0,0.0,0.05128458376029334,0.5286195286195287,2022-07-17,1,0,0,1,1,0,1,0,0,1
0.0,0.0,0.05642044963518068,0.35942760942760943,2022-07-18,1,0,1,0,1,0,1,0,0,1
0.0,0.0,0.06395140680749145,0.6868686868686869,2022-07-19,1,0,1,0,1,0,1,0,0,1
0.0,0.0,0.07592686329460857,1.2920875420875422,2022-07-20,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.08580970135433771,1.0067340067340067,2022-07-21,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.09488388745540069,0.8973063973063973,2022-07-22,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.1046803046951197,0.9966329966329966,2022-07-23,1,0,0,1,1,0,1,0,1,0
0.0,0.0,0.11503845726490451,1.0715488215488216,2022-07-24,1,0,0,1,1,0,1,0,0,1
0.0,0.0,0.12248916653292016,0.6750841750841751,2022-07-25,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.13250163582266447,1.0260942760942762,2022-07-26,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.1451808047012926,1.388047138047138,2022-07-27,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.15652662378547882,1.207070707070707,2022-07-28,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.16653909307522316,1.0244107744107744,2022-07-29,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.17787873924369438,1.2053872053872055,2022-07-30,0,1,0,1,1,0,1,0,0,1
0.0,0.0,0.18765046482055334,0.9915824915824916,2022-07-31,0,1,0,1,1,0,1,0,0,1
0.84646383235946,0.0,0.19390362843985728,0.5117845117845118,2022-08-01,1,0,1,0,1,0,1,0,0,1
1.0148095909732018,0.0,0.20318152075951554,0.9242424242424242,2022-08-02,1,0,1,0,1,0,1,0,0,1
0.0,0.0,0.21532981888665292,1.3156565656565657,2022-08-03,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.22702749416659465,1.254208754208754,2022-08-04,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.23753379671353966,1.0942760942760943,2022-08-05,1,0,1,0,1,0,1,0,1,0
1.0155148095909732,0.0,0.24766972431758416,1.0412457912457913,2022-08-06,0,1,0,1,1,0,1,0,1,0
0.8183558331654242,0.0,0.25895381424462033,1.1978114478114479,2022-08-07,1,0,0,1,1,0,1,0,1,0
0.6043723554301833,0.0,0.26662674847837625,0.7053872053872053,2022-08-08,1,0,1,0,1,0,1,0,1,0
0.5101752971992747,0.0,0.27684909690243087,1.053030303030303,2022-08-09,1,0,1,0,1,0,1,0,1,0
0.611726778158372,0.0,0.2891517179224435,1.3367003367003367,2022-08-10,1,0,1,0,1,0,1,0,1,0
0.7370542010880515,0.0,0.3016456993296214,1.362794612794613,2022-08-11,1,0,1,0,1,0,1,0,1,0
1.00402982067298,0.0,0.31388659119248385,1.3291245791245792,2022-08-12,1,0,1,0,1,0,1,0,0,1
0.0,0.0,0.3254484623266954,1.2365319865319866,2022-08-13,0,1,0,1,1,0,1,0,1,0
0.0,0.0,0.3372572500895073,1.2693602693602695,2022-08-14,0,1,0,1,1,0,1,0,1,0
0.0,0.0,0.34634995493771525,0.898989898989899,2022-08-15,1,0,0,1,1,0,1,0,1,0
0.422224461011485,0.0,0.4170730502845714,1.287037037037037,2022-08-21,1,0,0,1,1,0,1,0,1,0
0.40348579488212777,0.0,0.4254311781626934,0.7988215488215489,2022-08-22,1,0,1,0,1,0,1,0,1,0
0.5230707233528108,0.0,0.43488191212237187,0.9478114478114478,2022-08-23,1,0,1,0,1,0,1,0,1,0
0.5752569010679025,0.0,0.4478079976296004,1.4234006734006734,2022-08-24,1,0,1,0,1,0,1,0,1,0
0.6304654442877292,0.0,0.4578945419079248,1.0345117845117846,2022-08-25,1,0,1,0,1,0,1,0,1,0
0.6737860165222648,0.0,0.46648724058321706,0.8324915824915825,2022-08-26,1,0,1,0,1,0,1,0,1,0
0.69494257505541,0.0,0.4752219163199546,0.8501683501683501,2022-08-27,1,0,0,1,1,0,1,0,1,0
0.6396332863187588,0.5106382978723405,0.4827960839022704,0.6919191919191919,2022-08-28,1,0,0,1,1,0,1,0,1,0
0.42927664718920006,0.0,0.4879751601871628,0.3653198653198653,2022-08-29,1,0,1,0,1,0,1,0,1,0
0.1302639532540802,0.0,0.4943641279521969,0.5303030303030303,2022-08-30,1,0,1,0,1,0,1,0,1,0
-0.07535764658472698,0.0,0.5031975703403746,0.8636363636363636,2022-08-31,1,0,1,0,1,0,1,0,0,1
0.0,0.5390070921985818,0.5096606130939888,0.5404040404040404,2022-09-01,1,0,1,0,1,0,1,0,1,0
0.0,0.0,0.5248027753429054,0.29545454545454547,2022-09-04,1,0,0,1,1,0,1,0,0,1
0.0,0.0,0.5278645415375498,0.0765993265993266,2022-09-05,1,0,1,0,1,0,1,0,0,1
0.0,0.4397163120567376,0.5313645847479599,0.13636363636363635,2022-09-06,1,0,1,0,1,0,1,0,0,1
0.0,0.4964539007092199,0.535605377844171,0.23905723905723905,2022-09-07,1,0,1,0,1,0,1,0,1,0
0.0,0.5035460992907803,0.5400683959061223,0.2676767676767677,2022-09-08,1,0,1,0,1,0,1,0,1,0
0.231513197662704,0.5106382978723405,0.5442165952666083,0.22474747474747475,2022-09-09,1,0,0,1,1,0,1,0,1,0
1.0143058633890791,0.475177304964539,0.5465314386597365,-0.025252525252525252,2022-09-10,1,0,0,1,1,0,1,0,0,1
0.9146685472496474,0.5319148936170214,0.5485252904356844,-0.06902356902356903,2022-09-11,1,0,0,1,1,0,1,0,1,0
0.00040298206729800525,0.5177304964539008,0.5502969172458919,-0.09932659932659933,2022-09-12,1,0,0,1,1,0,1,0,0,1
-0.7013902881321781,0.5106382978723405,0.5521920023703997,-0.08249158249158249,2022-09-13,1,0,1,0,1,0,1,0,0,1
0.0,0.5390070921985818,0.5550932727564538,0.054713804713804715,2022-09-14,1,0,1,0,1,0,1,0,0,1
0.0,0.5744680851063831,0.5584266472425585,0.11363636363636363,2022-09-15,1,0,1,0,1,0,1,0,0,1
-0.5911746927261737,0.0,0.5605871677428116,-0.046296296296296294,2022-09-16,1,0,1,0,1,0,1,0,0,1
-0.5069514406608906,0.0,0.5627600340744947,-0.04461279461279461,2022-09-17,1,0,0,1,1,0,1,0,1,0
-0.5942978037477332,0.0,0.5644267213175471,-0.11363636363636363,2022-09-18,1,0,0,1,1,0,1,0,1,0
-0.6033649002619383,0.5602836879432627,0.5658032815219941,-0.1531986531986532,2022-09-19,1,0,1,0,1,0,1,0,1,0
-0.22022969977835985,0.4042553191489362,0.5674576229336165,-0.11531986531986532,2022-09-20,1,0,1,0,1,0,1,0,1,0
0.05964134596010478,0.3404255319148937,0.5696428350967296,-0.04292929292929293,2022-09-21,1,0,1,0,1,0,1,0,1,0
0.3402176103163409,0.35460992907801425,0.5712724848454919,-0.11784511784511785,2022-09-22,1,0,1,0,1,0,1,0,1,0
0.536973604674592,0.3687943262411348,0.5725441054827838,-0.1675084175084175,2022-09-23,1,0,1,0,1,0,1,0,1,0
0.6070924843844449,0.2978723404255319,0.5741922739786911,-0.11616161616161616,2022-09-24,1,0,0,1,1,0,1,0,1,0
0.49073141245214585,0.3687943262411348,0.5753898196274028,-0.1776094276094276,2022-09-25,1,0,0,1,1,0,1,0,1,0
0.4231311706629055,0.39007092198581567,0.5775009568019358,-0.18097643097643099,2022-09-27,1,0,1,0,1,0,1,0,0,1
0.3899858956276446,0.39007092198581567,0.5753898196274028,-0.1776094276094276,2022-09-26,1,0,1,0,1,0,1,0,1,0
0.5806971589764256,0.4255319148936171,0.5789515919949629,-0.14309764309764308,2022-09-28,1,0,1,0,1,0,1,0,1,0
